,isindb-Title,isindb-ISIN,isindb-Country,isindb-Description,isindb-Type
0,"TURKCELL ILETISIM H./2,5 ADR",US9001112047,United States,"Equity, ISIN US9001112047, WKN 806276, TUL1",Equity
0,,US9001451031,,COM,
0,,US9003821025,US,COM,
0,TERAS RESOURCES INC,CA8808411018,CANADA,SHS TERAS RESOURCES INC COMMON,EQUITY
0,DORCHESTER PACIFIC,NZVNLE0001S1,,,
0,TUSCANY ENERGY LTD,CA90068U1030,CANADA,SHS TUSCANY ENERGY LTD ORD BR,EQUITY
0,,AU000000TPC7,AUSTRALIA,SHS TEL PACIFIC LTD / AU ORD REG,EQUITY
0,TUTOR PERINI CORP. DL 1,US9011091082,United States,"Equity, ISIN US9011091082, WKN A0RM5Z, PE2",Equity
0,TV ASAHI HOLDINGS CORPORATION ( FORMELY KNOWN AS T,JP3429000007,JAPAN,SHS TV ASAHI CORP.,EQUITY
0,TVI PAC. INC.,CA8729171097,Canada,"Equity, ISIN CA8729171097, WKN 890404, TVP",Equity
0,,INE236G01019,,,
0,,GG00B90J5Z95,"Guernsey, C.I. - GG",ORD RED GBP0.01,
0,Brenntag AG,DE000A1DAHH0,Germany,"Equity, ISIN DE000A1DAHH0, WKN A1DAHH, BNR",Equity
0,ALIBABA HEALTH INFORMATION TECH LTD,BMG0171K1018,Bermuda,,ORD SH
0,TAMEDIA AG,CH0011178255,SWITZERLAND,SHS TRAMEDIA AG ZUERICH,EQUITY
0,TXCOM SA,FR0010654087,FRANCE,SHS TXCOM SA ORD BR,EQUITY
0,"TYLER TECHS INC. DL-,01",US9022521051,United States,"Equity, ISIN US9022521051, WKN 917099, TYP",Equity
0,,GB00B29H4253,Great Britain - GB,ORD GBP0.05,
0,"TYSON FOODS INC A DL-,10",US9024941034,United States,"Equity, ISIN US9024941034, WKN 870625, TF7A",Equity
0,TZ,AU000000TZL7,,,
0,DEVELOPMENT SECURITIES,GB0002668464,Great Britain - GB,ORD GBP0.50,
0,U.S. Bancorp Fund Services LLC,US9029733048,United States,"Equity, ISIN US9029733048, WKN 917523, UB5",Equity
0,"U-BLOX HOLDING NAM.SF-,90",CH0033361673,Switzerland,"Equity, ISIN CH0033361673, WKN A0M2K9, 3BG",Equity
0,FURUKAWA-SKY ALUMIN.CORP.,JP3826900007,Japan,"Equity, ISIN JP3826900007, WKN A0HL8C, F4M",Equity
0,UBE IND. LTD,JP3158800007,Japan,"Equity, ISIN JP3158800007, WKN 859490, UBE",Equity
0,CUBIC CORP.,US2296691064,United States,"Equity, ISIN US2296691064, WKN 850845, UBQ",Equity
0,UBIQUITECH SOFTWARE CORP,US9034701022,UNITED STATES OF AMERICA,SHS UBIQUITECH SOFTWAR ORD REG,EQUITY
0,"UBISOFT ENTMT IN.EO-,0775",FR0000054470,France,"Equity, ISIN FR0000054470, WKN 901581, UEN",Equity
0,UBM REALITAETENENTWICKLUNG AG,AT0000815402,AUSTRIA,SHS UBM REALITAETENENTWICKLUNG AG,EQUITY
0,"URBAS GUADAHERMOS.EO 0,25",ES0182280018,Spain,"Equity, ISIN ES0182280018, WKN 866504, UZY",Equity
0,,FR0011070457,FRANCE,SHS UCAR SA ORD BR,EQUITY
0,UCB S.A.,BE0003739530,Belgium,"Equity, ISIN BE0003739530, WKN 852738, UNC",Equity
